,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0102
1,6001027,75JFxkI2RXiU7L9VXzMkle,,,100.0,0.0,1,0102
2,5000008,68iMdxXn1timrxURm9dR8C,,,99.724,0.27562438477167106,174,0102
3,5000023,6f46TyGZm5oeKIP54PLvql,,,99.707,0.29278515425459134,217,0102
4,1686718,2LbHYfTYW6TipHInIjqdaQ,the scientist,2015-04-28,99.682,0.3182924094478886,292,0102
5,5000013,2LbHYfTYW6TipHInIjqdaQ,,,99.682,0.3182924094478886,293,0102
6,5000017,34dnNAUoIPcwnK0RtVMBWZ,,,99.652,0.3482206747542508,395,0102
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,,,99.634,0.3663523275234993,459,0102
8,5000001,025vpSSyndhVZezl8rUF6L,,,99.58,0.41998862450971625,684,0102
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,,,99.526,0.47389572983451195,986,0102
10,5000018,49Nzxf1LskunwmZ6EyWUew,,,99.512,0.4880309932068979,1084,0102
11,5000019,49ilSrZNQcle6PYw8rtvzM,,,99.489,0.5107509179105216,1215,0102
12,5000012,7tn1tcxenMwDXrYTOjS3z1,,,99.489,0.510812193999562,1217,0102
13,5000020,66Z3LdLjtwfIdHFF0wZa5B,,,99.322,0.6782841925382292,2212,0102
