id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment,,,
6001027,75JFxkI2RXiU7L9VXzMkle,nan,nan,100,0,1,1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,6001027,75JFxkI2RXiU7L9VXzMkle,nan,nan,100.0,0.0,0,0100
180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,1,0100
5000008,68iMdxXn1timrxURm9dR8C,nan,nan,98.742,1.2578491645476344,93,0100
5000023,6f46TyGZm5oeKIP54PLvql,nan,nan,98.363,1.6365361400276344,257,0100
5000011,5FoM2ZWwhgTxHFFh2stUw6,nan,nan,98.336,1.6636202520894732,269,0100
1686718,2LbHYfTYW6TipHInIjqdaQ,the scientist,2015-04-28,98.269,1.7309537016168761,313,0100
5000013,2LbHYfTYW6TipHInIjqdaQ,nan,nan,98.269,1.7309537016168761,314,0100
5000017,34dnNAUoIPcwnK0RtVMBWZ,nan,nan,97.975,2.0254901902818525,574,0100
5000001,025vpSSyndhVZezl8rUF6L,nan,nan,97.761,2.239079088088833,780,0100
5000007,6TyaYGQKCnRLVTOQlXvYAA,nan,nan,97.584,2.416143014945095,1015,0100
5000018,49Nzxf1LskunwmZ6EyWUew,nan,nan,97.39,2.610032884120862,1285,0100
5000012,7tn1tcxenMwDXrYTOjS3z1,nan,nan,97.133,2.8665027630926154,1692,0100
5000020,66Z3LdLjtwfIdHFF0wZa5B,nan,nan,97.074,2.9256605707438736,1799,0100
5000019,49ilSrZNQcle6PYw8rtvzM,nan,nan,96.866,3.1344642074414093,2140,0100
180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0102
5000018,49Nzxf1LskunwmZ6EyWUew,nan,nan,99.455,0.5452186520878395,21,0102
5000007,6TyaYGQKCnRLVTOQlXvYAA,nan,nan,99.432,0.5682674592902184,36,0102
5000019,49ilSrZNQcle6PYw8rtvzM,nan,nan,99.427,0.5734440838197281,39,0102
6001027,75JFxkI2RXiU7L9VXzMkle,nan,nan,99.381,0.6188985482470328,73,0102
1686718,2LbHYfTYW6TipHInIjqdaQ,the scientist,2015-04-28,99.362,0.637745144690119,96,0102
5000013,2LbHYfTYW6TipHInIjqdaQ,nan,nan,99.353,0.6471012819746916,114,0102
5000011,5FoM2ZWwhgTxHFFh2stUw6,nan,nan,99.351,0.6486640389649136,117,0102
5000017,34dnNAUoIPcwnK0RtVMBWZ,nan,nan,99.351,0.6487330293122776,118,0102
5000012,7tn1tcxenMwDXrYTOjS3z1,nan,nan,99.309,0.6905695564749119,189,0102
5000001,025vpSSyndhVZezl8rUF6L,nan,nan,99.302,0.6981705578754506,210,0102
5000008,68iMdxXn1timrxURm9dR8C,nan,nan,98.99,1.0099866899133148,2250,0102
5000020,66Z3LdLjtwfIdHFF0wZa5B,nan,nan,98.825,1.174969529050771,3434,0102
5000023,6f46TyGZm5oeKIP54PLvql,nan,nan,98.336,1.6640245320513851,5419,0102
