,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0700
1,6001027,75JFxkI2RXiU7L9VXzMkle,,,75.678,24.322164849182663,1,0700
2,5000019,49ilSrZNQcle6PYw8rtvzM,,,75.09,24.910180576344843,4,0700
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,,,75.031,24.968642994651308,6,0700
4,5000013,2LbHYfTYW6TipHInIjqdaQ,,,74.497,25.50278524039753,112,0700
5,1686718,2LbHYfTYW6TipHInIjqdaQ,the scientist,2015-04-28,74.236,25.764164651785933,301,0700
6,5000012,7tn1tcxenMwDXrYTOjS3z1,,,74.05,25.949933854164193,489,0700
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,,,73.709,26.291282044506367,787,0700
8,5000001,025vpSSyndhVZezl8rUF6L,,,73.132,26.86777998095351,1102,0700
9,5000018,49Nzxf1LskunwmZ6EyWUew,,,72.097,27.902553371863636,1298,0700
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,,,59.896,40.10424644778399,1866,0700
11,5000020,66Z3LdLjtwfIdHFF0wZa5B,,,56.509,43.49050408088995,1923,0700
12,5000008,68iMdxXn1timrxURm9dR8C,,,54.158,45.84156542990232,1959,0700
