,id_song,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
3,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,99.733,0.26723421,56,200
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,91.605,8.394682388,62,600
5,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,99.988,0.011809793,66,704
4,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,91.509,8.49085052,71,600
6,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.988,0.012029056,72,704
7,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.988,0.012072822,73,704
4,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,99.381,0.618898548,73,202
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,84.555,15.444767,74,400
4,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,99.151,0.849093721,77,703
8,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,99.988,0.012233017,78,704
5,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.13,0.869946898,88,703
2,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,99.933,0.066654392,91,103
9,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.185,0.814759211,92,502
2,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,98.742,1.257849165,93,100
5,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.362,0.637745145,96,202
7,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.998,0.00213767,100,300
8,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.998,0.002145821,105,300
5,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,91.205,8.795120459,108,600
6,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.085,0.914810635,111,703
7,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.085,0.914810635,112,703
4,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,74.497,25.50278524,112,700
6,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.353,0.647101282,114,202
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,99.351,0.648664039,117,202
8,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.351,0.648733029,118,202
8,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,98.294,1.705776288,119,702
6,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,91.1,8.900340538,130,600
10,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,99.141,0.858961821,136,502
4,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,99.699,0.301116031,138,200
3,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.925,0.074772239,151,103
4,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.925,0.074772239,152,103
5,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,99.692,0.308294015,161,200
6,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,99.689,0.310969919,173,200
2,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,99.724,0.275624385,174,102
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,98.234,1.766284741,175,702
9,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,99.309,0.690569556,189,202
7,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.686,0.314094777,189,200
5,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,99.921,0.079412714,192,103
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,90.839,9.161096229,196,600
10,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.302,0.698170558,210,202
8,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,98.965,1.035037889,214,703
3,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,99.707,0.292785154,217,102
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,90.756,9.243785563,220,600
9,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,90.695,9.30455589,244,600
9,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.998,0.002405519,244,300
10,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,99.998,0.002422864,256,300
3,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,98.363,1.63653614,257,100
8,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,99.675,0.325204372,260,200
10,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,98.155,1.845254829,264,702
11,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,98.153,1.846749904,267,702
4,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,98.336,1.663620252,269,100
9,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,98.911,1.088566837,271,703
9,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,99.673,0.326779806,271,200
10,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.673,0.327369795,281,200
4,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,83.853,16.14651297,282,500
6,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,99.911,0.088909648,286,103
4,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,99.682,0.318292409,292,102
5,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.682,0.318292409,293,102
5,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,74.236,25.76416465,301,700
11,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,99.669,0.330925171,304,200
5,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,98.269,1.730953702,313,100
6,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,98.269,1.730953702,314,100
10,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,98.875,1.125082668,325,703
9,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,99.985,0.014926534,335,704
5,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,83.735,16.26455268,376,500
6,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.652,0.348220675,395,102
10,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,99.985,0.015308995,396,704
12,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.654,0.345502997,437,200
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,99.634,0.366352328,459,102
11,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,99.984,0.015928185,487,704
6,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,74.05,25.94993385,489,700
6,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,83.618,16.38234171,492,500
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,83.596,16.40417401,513,500
7,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.893,0.106937729,521,103
4,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,83.932,16.06792706,529,400
11,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,98.747,1.253063679,544,703
7,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,97.975,2.02549019,574,100
5,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,83.867,16.13342148,591,400
12,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,99.983,0.016551599,596,704
12,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,98.701,1.299165144,640,703
6,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,83.814,16.18648049,658,400
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.58,0.419988625,684,102
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.881,0.119050592,729,103
11,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,98.953,1.046920205,743,502
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,97.761,2.239079088,780,100
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,73.709,26.29128204,787,700
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,83.66,16.34048594,813,400
9,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,99.872,0.128458619,932,103
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,99.526,0.47389573,986,102
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,97.584,2.416143015,1015,100
10,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,99.512,0.488030993,1084,102
12,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,97.785,2.214871471,1100,702
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,73.132,26.86777998,1102,700
10,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.864,0.136359274,1116,103
11,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.489,0.510750918,1215,102
12,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,99.489,0.510812194,1217,102
11,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,99.859,0.141329184,1252,103
10,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,97.39,2.610032884,1285,100
12,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,99.857,0.143440351,1286,103
9,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,72.097,27.90255337,1298,700
11,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,99.997,0.003133196,1342,300
12,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,99.997,0.003188372,1436,300
11,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,97.133,2.866502763,1692,100
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,82.203,17.79727479,1784,500
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,97.074,2.925660571,1799,100
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,59.896,40.10424645,1866,700
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,82.326,17.6741674,1910,400
11,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,56.509,43.49050408,1923,700
12,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,54.158,45.84156543,1959,700
13,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,99.826,0.174344659,2017,103
13,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,96.866,3.134464207,2140,100
9,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,81.406,18.5937833,2205,500
13,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,99.322,0.678284193,2212,102
11,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,98.99,1.00998669,2250,202
9,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,81.621,18.37860327,2267,400
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,85.63,14.36981543,2444,600
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,98.643,1.356695559,2837,502
13,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,99.559,0.440762573,2888,200
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,98.825,1.174969529,3434,202
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,73.308,26.69183691,4097,500
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,73.4,26.60047881,4132,400
11,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,65.333,34.66697667,4813,500
11,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,65.469,34.53073684,4818,400
13,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,98.31,1.689585982,4841,502
12,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,62.701,37.29863964,4960,500
12,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,62.715,37.28467075,4976,400
11,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,61.89,38.10975564,5068,600
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,58.462,41.5376168,5174,600
13,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,98.336,1.664024532,5419,202
13,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,99.992,0.007871777,5692,300
13,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,14.166,85.83379199,5775,600
13,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,4.115,95.88460022,5844,500
13,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,4.113,95.88656281,5849,400
