id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2Ge4zqdWliTVAoJKtbyQZV,0.641,0.343,0,-16.15,0,0.0331,0.0317,0.496,0.102,0.0398,114.007,266067,4
2gE95JskwQ1pCACTpGe1Db,0.858,0.544,0,-9.289,1,0.0751,0.583,0.00109,0.0707,0.874,108.217,166280,4
2geMzjpfaN4U5YjrDtbYYk,0.375,0.162,7,-18.863,1,0.033,0.789,0.327,0.0823,0.226,112.384,238093,4
2gePVJRrWyQsJsiIQhiSG8,0.585,0.45,4,-4.153,0,0.0304,0.129,0,0.133,0.183,140.107,237533,4
2GFExyKXf9383tSRSrEHEt,0.747,0.662,1,-7.9,0,0.0796,0.0118,0,0.138,0.63,88.926,221467,4
2GfUCDFmA1aRaGvf4HzamN,0.755,0.817,0,-5.219,1,0.0312,0.118,0,0.139,0.654,102.966,167790,4
2Gg5EP2IC7WDrtIbdn2wAO,0.661,0.211,9,-14.473,1,0.0421,0.767,0,0.372,0.305,143.886,313609,4
2gGn9Rs527aASu4cMcynwO,0.479,0.938,10,-3.371,1,0.0351,0.0236,0,0.0584,0.903,148.005,210573,4
2GGOQWJo7FGEQojc7baekK,0.506,0.911,0,-4.779,1,0.23,0.48,0,0.696,0.781,105.475,590333,4
2GGSDL4nKoTanxqHhshyYL,0.483,0.464,0,-6.734,1,0.0319,0.775,0,0.104,0.146,176.804,242493,3
2ggSyGB5HnVvGDGofu3ITZ,0.566,0.286,1,-11.441,1,0.0292,0.806,0.0000178,0.111,0.263,147.43,261160,4
2GgxS8bUT5G25QJTsfSv0R,0.559,0.777,1,-5.031,1,0.0432,0.31,0,0.105,0.329,87.016,231212,4
2gh3kJM2ELKHDzVcufuYft,0.79,0.24,1,-14.995,1,0.0558,0.958,0.865,0.0935,0.593,118.434,179467,4
2ghIlel46KS6FTNNHesqpb,0.486,0.576,2,-6.525,1,0.031,0.387,0.00000893,0.116,0.538,136.004,270474,4
2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4
2GIlwOq1TaNpbmEKcic4SF,0.329,0.535,7,-9.834,1,0.0474,0.661,0,0.975,0.598,114.598,214720,4
2gIQ3MMcooX1B7JA9FiVut,0.569,0.222,10,-10.067,1,0.0286,0.908,0.0266,0.0885,0.138,80,294613,4
2gjtzj2Kr3qVcE3t7CGw8z,0.503,0.349,11,-11.02,1,0.0273,0.299,0,0.129,0.143,77.023,264267,3
2gMFLhuUlu7wrppdkHH5fr,0.505,0.117,5,-15.17,1,0.0336,0.821,0,0.253,0.355,79.103,283213,4
2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4
2GnMqOzDPMWTiWGkC8uvIw,0.509,0.929,1,-3.311,1,0.0645,0.00194,0.00000206,0.0756,0.78,172.981,198533,4
2GnrlFTX97ElPxxChTEjKR,0.156,0.959,4,-7.35,1,0.121,0.00443,0.000654,0.993,0.366,161.374,299173,4
2gnZad0pb6QtUqMLTj2AjI,0.588,0.845,6,-4.497,1,0.0377,0.00869,0,0.326,0.745,138.014,231560,4
2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,239027,4
2GpBrAoCwt48fxjgjlzMd4,0.55,0.49,2,-10.732,1,0.0572,0.368,0.0000996,0.917,0.609,74.656,432040,4
2gpuOUD7W8uOJ2c0JTFIe9,0.583,0.245,6,-13.942,1,0.0531,0.898,0,0.102,0.13,123.015,107170,4
2gQsMtXE1nIGw0H2il6xNm,0.375,0.402,7,-7.932,1,0.0286,0.885,0.0000202,0.103,0.208,129.629,277887,4
2grjqo0Frpf2okIBiifQKs,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4
2GsPNtDbbTLnQ0nISq9MmC,0.337,0.442,5,-8.456,1,0.0298,0.0356,0.000123,0.319,0.275,141.254,275947,4
2gSyc23Hua25fqSFpgAh6W,0.522,0.676,5,-3.571,0,0.16,0.274,0,0.134,0.746,67.427,271333,4
2gtEpCpKUt1R4Plk6Qs9ld,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3
2GTGTxBnEGlU28SoirEFPz,0.344,0.494,7,-3.998,1,0.0384,0.649,0,0.102,0.159,119.901,277343,4
2gTiN1zbq06BtxS8FzqSyK,0.707,0.286,8,-13.827,0,0.0477,0.816,0,0.105,0.408,102.317,242000,4
2gtnJkNljseiaUAozVAsjM,0.446,0.934,2,-3.398,1,0.0458,0.0000937,0.108,0.263,0.472,101.003,260227,3
2GToiIqWWG6L9yk7CSX9O3,0.82,0.602,11,-7.47,1,0.0605,0.447,0,0.114,0.848,87.508,190823,4
2gTRCIZ58gBGBO4dGRUwjs,0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,153467,4
2gtTVcsa6wo71do0wIno7b,0.323,0.925,0,-8.238,1,0.0969,0.266,0.566,0.987,0.201,118.808,322548,4
2Guz1b911CbpG8L92cnglI,0.29,0.48,5,-6.583,1,0.0296,0.116,0.00000303,0.626,0.382,112.62,229235,4
2GVYPY8Sv7U7cJkDFu3Ft1,0.854,0.957,8,-6.07,1,0.0704,0.156,0.625,0.308,0.628,118.184,257240,4
2Gy7qnDwt8Z3MNxqat4CsK,0.392,0.629,5,-7.056,1,0.0335,0.718,0.00000376,0.129,0.72,124.511,153205,4
2GyA33q5rti5IxkMQemRDH,0.687,0.761,9,-4.582,0,0.0876,0.102,0,0.147,0.743,113.939,223853,4
2GyH5rvdnfkjzsTFaWrrov,0.714,0.658,4,-11.342,1,0.0375,0.654,0.0914,0.778,0.85,110.97,154360,4
2H3wWrnO758y0fPH7Ilerg,0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,144733,4
2H4aO4p4ko2PNk7TR92Lsk,0.391,0.542,10,-7.383,1,0.0332,0.68,0,0.945,0.458,115.636,198963,4
2h7c8sfEWiKhDCWlt2KekF,0.732,0.467,9,-12.628,0,0.036,0.793,0,0.247,0.845,119.988,108722,4
2H8vUuDGUERrkr8OfK4cmi,0.546,0.155,0,-14.378,1,0.0428,0.987,0.0000602,0.18,0.512,72.331,199800,4
2h9iS5iELVA2jKtaY9DFgZ,0.456,0.941,9,-6.627,0,0.0638,0.0039,0.0463,0.663,0.162,135.051,332227,4
2HAVFycrhtbmLxyyxpm6JI,0.765,0.437,4,-10.122,0,0.0727,0.0271,0.00000131,0.167,0.498,92.402,290293,4
2Hb5h5nmIFr8gqcZr5lCfL,0.58,0.511,0,-6.664,0,0.0495,0.236,0,0.0947,0.518,76.896,484147,4
2HcE0UBhTeY1LYj4VcseJZ,0.555,0.323,1,-10.774,0,0.0469,0.752,0.0000428,0.209,0.371,176.387,204533,4
2HcyIzVsX45jLIxK7SH2aI,0.725,0.523,10,-9.593,1,0.324,0.0783,0,0.0665,0.95,76.292,172933,4
2HDhsfCmbVjLHYXK32jaCC,0.776,0.475,1,-9.459,1,0.0313,0.012,0.0000308,0.156,0.415,119.99,190846,4
2HEgBBls7l0smWTxPx0MtZ,0.628,0.42,9,-10.547,1,0.177,0.395,0.00000255,0.104,0.337,165.304,166133,4
2hEQRGEAx4YKGh0Kg7djab,0.505,0.198,10,-9.478,1,0.03,0.812,0.0000141,0.139,0.158,74.866,214000,4
2hGMMxp9NuR7zLJP9il6Rs,0.474,0.707,7,-4.534,1,0.0253,0.0831,0,0.162,0.224,83.235,252107,4
2HHtWyy5CgaQbC7XSoOb0e,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,243773,4
2HilREEU73qZYWgMIAQgzG,0.601,0.888,7,-4.613,1,0.0931,0.00351,0,0.0584,0.484,140.033,201640,4
