,danceability,energy,speechiness,acousticness,liveness,valence,tempo
95,0.699,0.197,0.0383,0.655,0.0716,0.361,122.871
96,0.389,0.396,0.0332,0.887,0.0828,0.585,171.86
97,0.747,0.226,0.0414,0.908,0.107,0.778,123.792
98,0.684,0.698,0.041,0.332,0.122,0.839,132.846
99,0.456,0.419,0.0247,0.117,0.178,0.425,146.148
100,0.533,0.313,0.0298,0.386,0.0868,0.225,133.615
101,0.214,0.423,0.0323,0.53,0.119,0.136,76.145
103,0.523,0.716,0.0431,0.134,0.988,0.222,98.619
104,0.508,0.774,0.0321,0.0586,0.063,0.942,178.946
105,0.578,0.817,0.0363,0.183,0.285,0.726,141.621
106,0.423,0.598,0.0268,0.641,0.34,0.521,151.972
107,0.32,0.88,0.0504,0.000101,0.076,0.257,146.349
108,0.565,0.546,0.0314,0.189,0.17,0.195,139.757
109,0.523,0.828,0.0762,0.0136,0.165,0.476,96.952
110,0.392,0.629,0.0335,0.718,0.129,0.72,124.511
111,0.31,0.464,0.0275,0.156,0.132,0.431,144.775
112,0.259,0.289,0.0285,0.14,0.162,0.246,80.326
113,0.388,0.529,0.0436,0.16,0.108,0.332,150.721
114,0.483,0.351,0.0278,0.783,0.115,0.713,81.208
115,0.431,0.54,0.0589,0.523,0.169,0.44,139.288
116,0.534,0.725,0.0332,0.188,0.0994,0.763,95.003
117,0.29,0.247,0.0383,0.921,0.0917,0.36,165.361
118,0.665,0.31,0.0278,0.68,0.0877,0.568,108.211
119,0.626,0.512,0.0247,0.155,0.215,0.73,92.225
120,0.422,0.656,0.0397,0.0126,0.268,0.549,173.93
121,0.377,0.916,0.0481,0.26,0.074,0.912,75.533
122,0.66,0.337,0.0286,0.213,0.142,0.703,110.173
123,0.378,0.677,0.0298,0.0635,0.183,0.648,106.071
124,0.398,0.392,0.0282,0.207,0.102,0.378,184.267
125,0.48,0.969,0.0854,0.069,0.0608,0.494,142.489
126,0.5,0.36,0.0461,0.133,0.125,0.243,164.28
127,0.419,0.152,0.0277,0.326,0.113,0.239,80.608
