id_chord,id_track,chords,orig_key
747828,5438,"C,Am,Dm,G,Dm,G,Em,Am,G,C,C,A,Dm,G,Em,A,Dm,G,C,C,Am,Dm,G,Dm,G,Em,Am,G,C,C,A,Dm,G,Em,A,Dm,G,C,C,F,Dm,Em,Dm,G,C,C,F,Dm,G,C,C,F,Dm,G,Dm,G,C,C,F,Dm,G,C,Am,Dm,G,Dm,G,Em,Am,G,C,C,A,Dm,G,Em,A,Dm,G,C,C,C,F,Dm,G,Em,A,G#,G,C",D
3226007,11093,"Dm,Dm,C,Am,G,Dm,Dm,C,Am,G,Dm,C,Am,G,Dm,C,Am,G,Dm,C,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,Dm,C,Am,G,Dm,C,Am,G,F,G,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,F,F,G,G,Am,Am,C,C,C,C,F,G,Am,E,F,G,Am,C,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,C,Am,G,Dm,C,Am,G,F,Am,Dm,G",B
1009303,6852,"C,Am,F,Dm,G,Em,F,C,F,G,C,F,C,F,C,C,F,C,G,F,C,G,Dm,G,C,F,C,F,Dm,G,C,F,C,F,C,C,F,C,G,F,C,G,Dm,G,C,F,C,F,Dm,G,C,F,G,C,F,G,C,Dm,G,C,Dm,G,C,F,C,F,C",A
1990679,10190,"G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,D,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G,Am,C#,G,F,C,D#,E,F,F#,G,F#,F,G,F#,F,C#,D,G,G#dim,Am,C#,G,G#dim,Am,D,G,G#dim,Am,Am,G,G#dim,Am,Am,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,F,C,D#,E,F,F#,G,F#,F,G,F#,F,G,F#,F,C#,D,E,F,F#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,C#,G,G#dim,Am,D,G",A
762806,5540,"Em,C,Em,Em,C,Am,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,Em,C,Em,Em,C,Am,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,Em,Em,Am,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F",G
762486,5549,"C,Am,Dm,G,C,Am,Dm,G,C,Am,Dm,G,C,Am,Dm,G,E,A,D,G,G,C,Am,Dm,G,C,Am,Dm,G,C,Am,Dm,E,Am,C,C,F,Fm,Em,D#dim,Dm,G,C,Am,B,Em,A,G,D,Dm,G,C,Am,Dm,G,C,Am,Dm,G,C,Am,Dm,E,Am,C,C,F,Dm,G,C,C,Am,Dm,G,C",G
18596,647,"C,G,Am,G,F,G,C,C,C,G,Am,Em,F,C,G,C,E,Am,E,C,G,C,Am,C,F,G,C,Am,C,F,G,Am,F,C,C,C,Am,F,F,F,C,C,C,G,F,C,G,C,G,Am,G,C,C,C,G,Am,Em,F,C,G,C,E,Am,E,C,G,C,Am,C,F,G,C,Am,C,F,G,Am,F,C,C,C,Am,F,F,F,C,C,C,G,F,C,G,Am,F,Am,G,Am,F,Am,C,F,G,F,C,F,G,F,C,F,Am,F,G,D,D,D,Bm,G,G,G,D,D,D,A,G,D,A,G,D,A,G,A,D",A
666402,5021,"Am,F,Em,F,Em,Am,F,Am,F,Em,Am,F,Em,F,Em,Am,F,Am,F,Em,Am,F,Dm,Em,Am,F,Dm,Em,Dm,Dm,G,Am,Em,F,Em,Am,Em,F,Em,Dm,G,F,Em,G,Am,F,Em,F,Em,Am,F,Dm,Em,Am,F,Dm,Em,Am,Am",C
1082947,7353,"F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,Dm,F,F,C,Am,G,F,C,Am,G,F,C,Am,G,Dm,F,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,Dm,F,F,C,Am,G,F,C,Am,G,F,C,Am,G,Dm,F,G,Am,F,C,G,Am,F,C,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,Dm,F,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F",D
1176046,7902,"Am,E,F,G,A,Am,E,G,Am,Am,Am,Am,E,G,Am,Am,Am,Am,Am,E,G,F,G,A,F,G,E,E,Am,Am,Am,Am,E,G,Am,Am,Am,E,G,Am,Am,Am,Am,E,G,Am,Am,Am,Am,Am,E,G,F,G,A,F,G,E,E,Am,Am,Am,Am,Am,E,G,Am,Am,Am,Am,Am,Am,Am,Am,Am,Am,E,G,Am,Am,Am,Am",C
