id_chord,id_spotify_track,id_track,r
115540,0cZDC7uxNK8lqQ3GgyvCnD,2212,1
892067,0d0tJF80562KcMndcBcSfM,6173,1
1434111,0d28khcov6AiegSCpG5TuT,2959,1
1483219,0D2FgTTHtc0DkkS11CElb2,8898,1
1401417,0D5sgNOCKNUxrfcnrWVsS0,8428,1
498143,0da5nPelSU6pwuqAuaqunj,4205,1
77897,0DcrhZ12WcCqruCs8ibXSf,1664,1
899101,0DFvMIwyBnNQNy1q3GIAmM,6218,1
1250832,0Dho96aJIZ5LJZXyPllbWA,5496,1
1190039,0dJPIIlTmVM0lambbFgAYq,8027,1
705173,0Dmao2oWlAZzIBX2Q1B5AH,5219,1
853502,0DMRKqrpd0QO4RWiEdMib0,4421,1
407885,0DnegHbBQokdwMnHgaBLoX,3774,1
76853,0DnGfA1r8pAssJCuq4ojla,1643,1
148158,0dOg1ySSI7NkpAe89Zo0b9,2551,1
590088,0dQ8ei6Gf0DAfowFBNhkWI,4586,1
58011,0DQqzCHlPyKQXfF8uL01SI,266,1
117988,0dRhSF9LV0HR8Jwd3MMMKJ,2233,1
1489771,0dSchkfNB8SzYj8Bx7bcCW,8928,1
519520,0EANX0OVKSCcmarY50Xa4p,292,1
154240,0eBryM7ePQH3Klt3jz8xZd,2632,1
280961,0eDQj41kzBhMKQIkTt6OJR,3330,1
1049038,0eifvmNPHWaSh4IKNR4Xva,881,1
459404,0EKBV6GybPtALXUgWqWrym,4068,1
44309,0elH6ukMGLyCHJavHutEza,1019,1
742402,0elmUoU7eMPwZX1Mw1MnQo,5396,1
161889,0ElmwRAsaxaUZXnMbaSllH,2683,1
17443,0ESIjVxnDnCDaTPo6sStHm,608,1
1762333,0eZBeB2xFIS65jQHerispi,9508,1
1130715,0f1svjHSiaCJif6noKKVHa,7401,1
430595,0F2S1QlnMaOfmNHIgmES3k,8020,1
440265,0fANuI8483AKyup2bVWZOm,3978,1
730091,0faXHILILebCGnJBPU6KJJ,5321,1
2255789,0FBQ4NrrHUbR9kus7rzrOj,10435,1
1480593,0FDzzruyVECATHXKHFs9eJ,8877,1
45224,0FLBNqc5oAiTt4J2e3fe3y,1052,1
152504,0Fnb2pfBfu0ka33d6Yki17,2608,1
1781092,0fPwregqch9wLJj4yQH6Bk,9631,1
1076668,0fxpHpK3aw2nFWII6yveDD,7323,1
1731876,0fYVliAYKHuPmECRs1pbRf,9298,1
566461,0fzCtVM9D5UEwiLqcY8Ouq,4469,1
1237842,0gchQwxmBWj5no8NJ8b2yH,8303,1
882693,0gcjc7Vt5xtcfmJgf6g2IO,272,1
2575206,0gDRtumoR9ZrvAlnniToMz,10782,1
612578,0gEyKnHvgkrkBM6fbeHdwK,4718,1
67846,0GGfPhGuWC2JGc7hlvjLXa,1490,1
427215,0GgN4MhR5GKn5IcKN0e0rG,3846,1
558564,0GGxVTb0UwDwdaKNjBdCn3,4451,1
2423037,0GHwNr0lqf8jpc9wesmnHo,10658,1
1050061,0gI1wucmc2djSV3e25LqCd,7149,1
79827,0gImXXLxJxmGBUhFXc6J5D,1736,1
1087236,0GjEhVFGZW8afUYGChu3Rr,1157,1
818619,0gJvqi9QyASOCtJu99tytc,2665,1
1830045,0gmbgwZ8iqyMPmXefof8Yf,827,1
1195964,0GNI8K3VATWBABQFAzBAYe,8075,1
1115506,0GO8y8jQk1PkHzS31d699N,7596,1
843137,0GONea6G2XdnHWjNZd6zt3,650,1
3911342,0gplL1WMoJ6iYaPgMCL0gX,11215,1
363645,0GRvnYqlnh7ttq9NS6s3Ta,3579,1
186981,0GwVNKyG6DSL8gc72S4HGo,2908,1
131551,0gZp88SA5OcujHLDGkxtI3,2356,1
816,0gzqZ9d1jIKo9psEIthwXe,59,1
523681,0gZXockVcE7rEhSf4mcGLO,4316,1
902159,0HEmnAUT8PHznIAAmVXqFJ,4130,1
1469399,0hgTam3g59R5deIKQKNjsH,8800,1
1463998,0hII6q8vqHnKEyiKdzLZFD,8774,1
15165,0hJnqEmo8DeMmRhh6mwAof,449,1
531847,0hKRSZhUGEhKU6aNSPBACZ,524,1
885620,0HLWvLKQWpFdPhgk6ym58n,5018,1
1249143,0hlZ8daapg8QHpHsDyaqbg,8375,1
1778791,0HMjXBAZmSYOTTi33WpMso,9610,1
888737,0HPD5WQqrq7wPWR7P7Dw1i,6164,1
693612,0hS54SC4TZFc3N7cSuTz48,5138,1
1007691,0hSaYqHskiKNhEZ8O9cN6v,3279,1
633116,0Hv2IWtvPPca1F4zhC4UFs,4832,1
2689626,0hVXuCcriWRGvwMV1r5Yn9,10876,1
895147,0hwfOlSrYQ36ULiphozHgJ,6188,1
1243779,0Hz0ySp6XYrBhEQPU16Hz8,8342,1
182323,0HZ3OUVrGHxttD2EuHqRm3,2860,1
963934,0HZhYMZOcUzZKSFwPOti6m,6513,1
383812,0i0yTnhVQV2J44vrLVU3dD,3681,1
131820,0I1DJdLt9BKOb7GWmWxCjo,2359,1
1055003,0I329vpTJRdSRjEcWaQsSL,7197,1
1417798,0I5Z0p0cLWdyJNC6sqMTwD,8537,1
1459580,0iAtLvGKbC4Z7LE2h7duLc,8630,1
1400620,0IBKqo6CGA3kj8lKsmXLQJ,8423,1
1100802,0IF7bHzCXCZoKNog5vBC4g,7488,1
46064,0if8wueNrAVLfwSH7l1ANJ,176,1
76407,0IG6goJ5aYDZDqahHQXjyf,1637,1
733932,0iGckQFyv6svOfAbAY9aWJ,5186,1
1009597,0IIuxUgQsSJg4MglFT8g3f,6856,1
1049855,0iOZM63lendWRTTeKhZBSC,1829,1
95302,0IWtEFQBwRHaMXZQtGEVcM,2032,1
1833968,0IZDooqL9fXabNeywniTl3,9760,1
15811,0izmGVy9X7JVY3Eh44s84B,466,1
3075296,0j1Ia2lQWrcXrQZI4AdJlk,11074,1
17410,0j3p1p06deJ7f9xmJ9yG22,578,1
2078159,0jdny0dhgjUwoIp5GkqEaA,10252,1
728999,0JiY190vktuhSGN6aqJdrt,5315,1
586075,0JJP0IS4w0fJx01EcrfkDe,4559,1
844698,0JmGVy7IzUM27My3UuEOOZ,5903,1
74242,0jMyU6bO52IYhAEoWbT4K9,1589,1
210412,0jOSpB2zK2O0SNxj8ZT5lp,6268,1
1843946,0JqHPXj2YlV0oIbWleZjDS,9804,1
9297,0ju1jP0cSPJ8tmojYBEI89,242,1
367640,0K0KD1MOaq9nVUIODs404f,3610,1
754768,0k0vFacOHNuArLWMiH60p7,5483,1
84884,0K2WjMLZYr09LKwurGRYRE,1886,1
1491013,0K7wIocSvzcRISpssBUzfZ,5426,1
1124915,0KAiuUOrLTIkzkpfpn9jb9,7641,1
907468,0KeDuUqEX3P0cKzRD5pEom,6248,1
2321417,0KeK6xqEcTT1VWhHf5iw2d,10511,1
953518,0KGIbrNYktDXYyHopcDI2L,6465,1
105,0KlWpxzYGq2sjVmwPHprxM,11,1
151311,0KMGxYKeUzK9wc5DZCt3HT,2593,1
1901019,0kN8xEmgMW9mh7UmDYHlJP,9955,1
432877,0knqVSsgD7C8yu5yNmQFbA,2503,1
212929,0KOE1hat4SIer491XKk4Pa,3142,1
12376,0kp728Knw5PYvU3QzMZ0yJ,344,1
18691,0KpTFH1SzexN8SGc0GPILC,656,1
352784,0KQ0DQBrmw5aSmEpJB7WDl,3407,1
149324,0ksC7In0ixceusxlDtQHLO,2569,1
1146115,0KZicp0bzvK9D73eXj1mMN,7739,1
997065,0KztjtD3ytzgYjUKIVfBnW,6729,1
1133946,0l1BoSKANcBiOVkKzlKB1a,7683,1
1063467,0l2UwZ5gKgwDHtYKG2x31a,7263,1
234,0L2vsEl6rki4Pz0OsoIrNb,20,1
934768,0l4DTppOxy7NUaEcwXuOb6,6378,1
1678199,0L5gFNrzHyh4OhMwEz6DGS,9139,1
1070127,0laYHRpNTS6i8FXdupHkJ4,7287,1
562183,0LbK1bodGLc9xmV1cS9jvL,4463,1
937787,0lfPPoWG4b3OmhieJ2YDF0,6390,1
84617,0lIoY4ZQsdn5QzhraM9o9u,1877,1
699436,0LkK4ePBHSZ86gIwMYgYbO,5177,1
2544717,0lks2Kt9veMOFEAPN0fsqN,10768,1
149302,0lKTwaoezVFOd1MC6MqViz,2566,1
2796355,0Ll9YMXP25dDLlRQTer716,10940,1
56389,0lM05JYL2BDJR991wFy8DS,1223,1
106855,0lngUitwRDbvZ5yVO76dVN,2152,1
1202432,0LnkNEgEXv83bVVvgnB9Et,1663,1
440733,0lnxrQAd9ZxbhBBe7d8FO8,3984,1
390605,0lP4HYLmvowOKdsQ7CVkuq,3708,1
