,id_chord,id_spotify_track,id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,popularity,album_name,release_date,mood
564,186267,1AvavliFQoc2l0ZCCWa5VG,182,0.0657,0.943,8,-2.71,1,0.138,0.000114,0.00016,0.313,0.264,190.555,392307,4,slide away,55.0,Definitely Maybe (Deluxe Edition Remastered),1994,4
565,1048967,1Ay5MiilZj2ZGQLeTWVJ6o,7143,0.773,0.675,5,-8.697,1,0.0281,0.324,0.000112,0.0896,0.925,126.866,193293,4,lodi,62.0,Green River (Expanded Edition),1969-08-03,10
566,1227774,1B10XgaxSXRLAFq967oMpF,7671,0.34,0.523,5,-5.81,1,0.0265,0.245,1.07e-05,0.108,0.226,174.705,190280,4,hero,66.0,Loma Vista,2012-07-10,3
567,322340,1B5Tp2Ml9nLlmTSJx8xVfI,3163,0.358,0.387,7,-14.342,1,0.0324,0.746,0.0121,0.119,0.495,181.183,218440,4,always on my mind,67.0,Elvis (Fool),1973-07-16,6
568,1848233,1B62o4CbdL9ckGvwsz2cgn,9817,0.604,0.36,0,-10.109,0,0.0253,0.868,0.0343,0.112,0.37,103.985,202000,4,wheres my love,78.0,SYML,2019-05-03,6
569,1027459,1b8Zlu3aMVxEbyeospYPrK,6966,0.325,0.46,8,-7.226,1,0.0335,0.0849,3.6e-06,0.103,0.206,124.864,303387,3,helplessness blues,43.0,Helplessness Blues,2011-05-03,2
570,1215653,1b9VT5GTANUUm4s4wUls8o,8186,0.652,0.174,7,-11.07,1,0.052,0.991,0.00248,0.106,0.611,138.975,101539,3,tonight you belong to me,11.0,Earthling Expansion: The Calm Cuts,2022-05-24,5
571,1764430,1BECwm5qkaBwlbfo4kpYx8,9520,0.462,0.538,0,-5.527,1,0.059,0.0137,0.0,0.429,0.405,139.256,203507,4,death of a bachelor,70.0,Death of a Bachelor,2016-01-15,6
572,1010711,1BExV8JprNJLvLeDE9qdEW,6876,0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707,4,its been awhile,64.0,Break the Cycle,2001-05-22,4
573,84527,1bFPKxP56XWDXJOwo3Kvfp,1874,0.562,0.192,9,-17.451,0,0.0412,0.24,0.0344,0.118,0.313,116.015,257587,4,needle in the hay,52.0,Elliott Smith,1995-07-10,1
574,990450,1bKQ48M9onID2kbSpRy8kK,6681,0.153,0.417,1,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,80.87,273333,3,send me an angel,68.0,Crazy World,1990-01-01,2
575,660960,1BLfQ6dPXmuDrFmbdfW7Jl,4967,0.486,0.881,2,-5.623,0,0.0474,0.0244,0.0,0.429,0.667,144.997,480707,4,a little piece of heaven,66.0,Avenged Sevenfold,2007-10-26,11
576,623303,1BMDArkcHPGPv2fbujnW4K,4772,0.582,0.625,9,-6.253,1,0.0266,0.138,2.6e-05,0.118,0.474,132.965,294013,4,waiting,42.0,Bring Me Your Love (Special Edition),2007,6
577,1959745,1boXOL0ua7N2iCOUVI1p9F,10102,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,270847,3,japanese denim,74.0,Get You - Single,2016-10-21,5
578,84084,1bp2IO61zbQrbWNmKKxg3f,1841,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,4,the joker,74.0,The Joker,1973-01-01,9
579,44348,1BpV8IGf4XsRRJf4Xuui9q,1022,0.689,0.774,9,-4.528,1,0.0278,8.72e-05,0.0,0.0941,0.25,102.054,236600,4,just like a pill,66.0,M!ssundaztood (Expanded Edition),2001,4
580,1122601,1Bs1EoPqRxToVtIrxum4cf,7636,0.612,0.563,11,-7.309,1,0.0519,0.285,0.0,0.0938,0.464,129.962,256760,4,gods not dead,20.0,"God's Not Dead (From ""God's Not Dead: A Light in Darkness)",2018-04-13,6
581,1196236,1bsAHy2mQkv9uLVJkqD7sf,8081,0.58,0.666,2,-9.204,1,0.0298,0.788,0.385,0.116,0.279,147.975,228707,4,matilda,58.0,An Awesome Wave,2012-05-28,3
582,10731,1BvJmtaXsqtH438BcDPeBb,281,0.688,0.477,0,-11.945,1,0.029,0.38,4.93e-05,0.0864,0.897,132.071,234667,4,daniel,65.0,Don't Shoot Me I'm Only The Piano Player,1973-01-22,9
583,1036431,1Bx0zEdVjkFlV27iKaePug,7035,0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788,267000,4,man down,68.0,Loud,2010-11-16,7
584,1219790,1C1cV8Xa7LjrgE29Pez7yp,8222,0.254,0.718,0,-6.915,1,0.0392,0.00265,0.0,0.141,0.244,147.699,444493,4,victors crown,45.0,Revealing Jesus,2013-03-17,3
585,871374,1C2QJNTmsTxCDBuIgai8QV,6041,0.467,0.774,9,-6.569,0,0.0485,0.0616,0.289,0.108,0.0916,135.006,346693,4,resistance,61.0,The Resistance,2009-09-10,4
586,393249,1c7UYTut2SBOPq64o2t0uN,3717,0.608,0.639,7,-7.205,1,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,268973,4,why georgia,62.0,Room For Squares,2001-08-16,6
587,1422272,1cAMXz9mnvrqyQLSG4KeeE,8576,0.523,0.847,3,-5.888,1,0.028,0.00309,1.21e-05,0.146,0.475,155.032,340320,4,sirens,62.0,Lightning Bolt,2013-01-01,7
588,141284,1ccNXmmgYnajJ8ulYYEK9Y,2470,0.435,0.887,0,-3.934,0,0.0846,0.0089,0.0,0.161,0.463,154.451,219080,4,i dont want to be,56.0,Chariot,2003-05-26,7
589,432241,1CCXbOX4HG7lY1U4f2JZdb,3912,0.489,0.75,6,-2.365,1,0.0564,0.157,0.0,0.0844,0.498,164.089,259507,4,tuliro,50.0,Palabas & Transit Collection,2013,7
