,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,6001027,75JFxkI2RXiU7L9VXzMkle,,,100.0,0.0,0,0103
1,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,1,0103
2,1874688,4HBXdr8LXB22UPBi191b6S,king of my heart,2015-06-23,99.974,0.025659339502453804,2,0103
3,6001239,2cFWt6kXHjqVAvVnGgS8ET,,,99.972,0.028335684910416603,3,0103
4,3504560,5wANPM4fQCJwkGd4rN57mH,drivers license,2021-05-21,99.97,0.030297495424747467,4,0103
5,6000489,2BhSWL8q2kXfHvNSEBLUYw,,,99.968,0.032016508281230927,5,0103
6,2674008,65sEZZaxTjLMD8vNgPoMz5,imahe,2018-11-30,99.967,0.03272208943963051,6,0103
7,924061,1sDfnkQge4Nmkp8sgLgH1i,kecewa,2008,99.965,0.03508820757269859,7,0103
8,6000458,6D1Yl6NEp9SSGWKBCFTlZX,,,99.964,0.0364871472120285,8,0103
9,1747044,0Afs1hDADIDxx31FyJIEXm,cinta terbaik,2017-08-04,99.962,0.038402751088142395,9,0103
