,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0400
1,1119299,5vHLwhxxlGzmClMcxRRFPr,lithium,1991-09-26,86.319,13.681030196150108,1,0400
2,604358,61UuPxxYUvacEH6SHIK3sU,brown sugar,1971-04-23,85.363,14.636525929447028,2,0400
3,748267,04g3rUk3RzqaXi02FJT2Zl,white horse,2008-11-11,85.293,14.707377076605622,3,0400
4,1127345,3s3ciLHOXE1xVqGkdxwHPs,love interruption,2012-04-20,85.229,14.770877177543364,4,0400
5,1065079,2U8g9wVcUu9wsg6i7sFSv8,every teardrop is a waterfall,2011-10-24,85.175,14.824718628286941,5,0400
6,1909308,35r28RDot7nPE7y9K9H7l0,feeling whitney,2016-12-09,85.053,14.94684889471782,6,0400
7,88594,0bdGCUVn84V7F1Da1ABn5U,long may you run,2020-09-03,85.039,14.961326850234256,7,0400
8,6001027,75JFxkI2RXiU7L9VXzMkle,,,85.025,14.975116618338172,8,0400
9,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,85.001,14.999162643173173,9,0400
