,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0704
1,6001027,75JFxkI2RXiU7L9VXzMkle,,,99.996,0.004102611914277077,1,0704
2,1029726,02eD9ymfJOJOhM97HYp5R9,the house that built me,2009-09-24,99.993,0.00732511468231678,2,0704
3,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,99.992,0.007636364083737135,3,0704
4,6001258,1SgYfY3itrGgfdQikn2lhY,,,99.992,0.007834908552467823,4,0704
5,466649,6tzwFtw4AHo2tCexPGMzUN,thank you lord,2004-04-06,99.992,0.00790906511247158,5,0704
6,450492,2GsPNtDbbTLnQ0nISq9MmC,falling slowly,2006-09-22,99.992,0.007990764454007149,6,0704
7,1186397,01uqI4H13Gsd8Lyl1EYd8H,same love,2012-10-09,99.992,0.008193385787308216,7,0704
8,3504560,5wANPM4fQCJwkGd4rN57mH,drivers license,2021-05-21,99.992,0.008374927565455437,8,0704
9,5000017,34dnNAUoIPcwnK0RtVMBWZ,,,99.991,0.008706307969987392,9,0704
