,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0502
1,3504560,5wANPM4fQCJwkGd4rN57mH,drivers license,2021-05-21,99.493,0.5074415954513691,1,0502
2,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,99.478,0.5222787142211346,2,0502
3,1025154,67xq6C6IdzUgCOaCrP1nM0,the stable song,2016-06-10,99.471,0.5287906847610796,3,0502
4,1884102,24MnugltPOO1mf8Ux29Alj,million reasons,2022-06-02,99.411,0.5886536541676926,4,0502
5,6001027,75JFxkI2RXiU7L9VXzMkle,,,99.381,0.6188985482470328,5,0502
6,1106926,78meKU7RcdstGohFRaQUMF,ghosts that we knew,2012-09-21,99.368,0.6322028732577888,6,0502
7,924053,4WxpqDEOIqjx9Ux2J63K9u,karena ku cinta kau,2014-08-27,99.362,0.63797982782148,7,0502
8,1478111,42gY5B4AGDeEqyOYSyDdwg,xo,2018-04-10,99.362,0.6382131294846356,8,0502
9,1186397,01uqI4H13Gsd8Lyl1EYd8H,same love,2012-10-09,99.33,0.669943001108568,9,0502
