,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0102
1,6001027,75JFxkI2RXiU7L9VXzMkle,,,100.0,0.0,1,0102
2,1874688,4HBXdr8LXB22UPBi191b6S,king of my heart,2015-06-23,99.912,0.08839286376909763,2,0102
3,6001239,2cFWt6kXHjqVAvVnGgS8ET,,,99.908,0.09201001078587728,3,0102
4,6000489,2BhSWL8q2kXfHvNSEBLUYw,,,99.898,0.10153350545265795,4,0102
5,3504560,5wANPM4fQCJwkGd4rN57mH,drivers license,2021-05-21,99.891,0.1085703691885322,5,0102
6,6000458,6D1Yl6NEp9SSGWKBCFTlZX,,,99.887,0.11346620459570231,6,0102
7,2674008,65sEZZaxTjLMD8vNgPoMz5,imahe,2018-11-30,99.88,0.11998258166311626,7,0102
8,924061,1sDfnkQge4Nmkp8sgLgH1i,kecewa,2008,99.876,0.12362516469028151,8,0102
9,1747044,0Afs1hDADIDxx31FyJIEXm,cinta terbaik,2017-08-04,99.864,0.13591722213887758,9,0102
