,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0500
1,1119299,5vHLwhxxlGzmClMcxRRFPr,lithium,1991-09-26,85.892,14.107863922353218,1,0500
2,748267,04g3rUk3RzqaXi02FJT2Zl,white horse,2008-11-11,85.127,14.873346474026294,2,0500
3,1127345,3s3ciLHOXE1xVqGkdxwHPs,love interruption,2012-04-20,85.057,14.943179213632877,3,0500
4,6001027,75JFxkI2RXiU7L9VXzMkle,,,85.026,14.973724811075131,4,0500
5,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,84.97,15.030413630826873,5,0500
6,2689908,15xWRPHQMeqgdkGzInx3PY,falling like the stars,2019-05-10,84.813,15.186886367981549,6,0500
7,1065079,2U8g9wVcUu9wsg6i7sFSv8,every teardrop is a waterfall,2011-10-24,84.782,15.217533634622859,7,0500
8,604358,61UuPxxYUvacEH6SHIK3sU,brown sugar,1971-04-23,84.751,15.249354299964573,8,0500
9,937028,1NhPKVLsHhFUHIOZ32QnS2,secrets,2009-01-01,84.708,15.291614726563875,9,0500
