,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0700
1,6001027,75JFxkI2RXiU7L9VXzMkle,,,75.678,24.322164849182663,1,0700
2,748267,04g3rUk3RzqaXi02FJT2Zl,white horse,2008-11-11,75.465,24.534569832025163,2,0700
3,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,75.341,24.65879646230261,3,0700
4,5000019,49ilSrZNQcle6PYw8rtvzM,,,75.09,24.910180576344843,4,0700
5,732460,3qiyyUfYe7CRYLucrPmulD,baba oriley,1971-08-14,75.059,24.940967086599795,5,0700
6,5000017,34dnNAUoIPcwnK0RtVMBWZ,,,75.031,24.968642994651308,6,0700
7,2689908,15xWRPHQMeqgdkGzInx3PY,falling like the stars,2019-05-10,75.007,24.9927680537904,7,0700
8,6000141,4JtUz0ZcInSokkKBalijhd,,,74.987,25.013342933933398,8,0700
9,88594,0bdGCUVn84V7F1Da1ABn5U,long may you run,2020-09-03,74.969,25.031378521552448,9,0700
