,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0600
1,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,93.271,6.72850127607923,1,0600
2,1025154,67xq6C6IdzUgCOaCrP1nM0,the stable song,2016-06-10,93.182,6.8176285676459445,2,0600
3,672021,4wWPjMdb7owUVi5S43yFtJ,give me jesus,2006-01-01,93.128,6.871818536346437,3,0600
4,569357,7kxfWvj6u9oWQ5C36kMtGb,watch over you,2007-01-01,92.981,7.019483543031281,4,0600
5,1884102,24MnugltPOO1mf8Ux29Alj,million reasons,2022-06-02,92.95,7.049505599039829,5,0600
6,3504560,5wANPM4fQCJwkGd4rN57mH,drivers license,2021-05-21,92.941,7.058898998037532,6,0600
7,1210073,7udUBZMgHJcaf7ByUr0l8a,jolene,2004-09-14,92.927,7.072949651189858,7,0600
8,1048915,4bcgRbGeq4IejesjsiHyTH,little bird,2011-09-09,92.77,7.230109543699909,8,0600
9,263779,6aXKbU2QGsOms8UT3eUOg1,catch the wind,1965-05-14,92.732,7.268148263024927,9,0600
