,experiment_id,best_score_cover,best_score_cover_id,best_score_cover_rank,1_best_song_id,1_best_song_rank,2_best_song_id,2_best_song_rank,3_best_song_id,3_best_song_rank,original_song_id
68,202,2,6000667,0.283857,654588,0.172423,6000667,0.283857,1227774,0.411861,6000764
69,203,2,6000667,0.000544,654588,0.0005,6000667,0.000544,1227774,0.001068,6000764
70,300,2141,6000667,10.637844,654588,1.691999,2831476,3.606578,1227774,3.66713,6000764
71,400,3591,6000667,18.976836,654588,3.380524,1227774,3.902542,2831476,4.202984,6000764
72,500,3566,6000667,19.239764,1227774,4.496155,654588,4.65299,2831476,5.631071,6000764
73,502,44,6000667,0.773765,6000132,0.571186,1453638,0.60778,6000709,0.640152,6000764
74,600,2057,6000667,11.927118,654588,5.210627,1227774,5.489717,2831476,5.857172,6000764
75,700,1583,6000667,20.097544,1227774,5.134528,654588,5.367267,2831476,6.329674,6000764
76,702,21,6000667,1.455815,277200,1.180799,156603,1.199908,6000171,1.211811,6000764
77,703,280,6000667,1.303524,1005861,0.619806,1092970,0.624151,1090674,0.654799,6000764
78,704,12,6000667,0.009678,277200,0.007573,1196962,0.007809,156603,0.008373,6000764
79,800,12,6000667,0.009678,277200,0.007573,1196962,0.007809,156603,0.008373,6000764
80,100,3293,6000670,4.005694,139872,0.488986,1046393,0.516604,1906942,0.592544,6000771
81,102,2162,6000670,0.759562,2628012,0.097405,139872,0.103031,1906942,0.114087,6000771
82,103,2276,6000670,0.209917,2628012,0.02748,395700,0.030661,1906942,0.031307,6000771
83,200,1,6000670,0.123404,6000670,0.123404,6000511,0.166318,6001014,0.168321,6000771
84,202,1,6000670,1.381649,6000468,1.381649,185044,1.555767,1034121,1.609116,6000771
85,203,1,6000670,0.004314,6000670,0.004314,1034121,0.005091,1747044,0.005305,6000771
86,300,2,6000670,0.999666,6000468,0.999833,6000670,0.999666,185044,0.999498,6000771
87,400,4,6000670,60.4576,840629,57.91792,185044,59.420807,114928,60.194795,6000771
88,500,4,6000670,60.623187,840629,58.024662,185044,59.448942,114928,60.333016,6000771
89,502,1,6000670,1.57667,6000670,1.57667,185044,1.613828,1034121,1.621109,6000771
90,600,2,6000670,69.054057,6000468,68.177131,6000670,69.054057,185044,72.04265,6000771
91,700,1015,6000670,62.133567,40013,57.529472,6001581,57.748454,1735270,57.871062,6000771
92,702,2,6000670,2.383608,924061,0,118655,0.333333,14300,0.333333,6000771
93,703,146,6000670,1.137364,2628012,0.434923,924061,0.44566,118655,0.528099,6000771
94,704,3,6000670,0.016257,924061,0.0137,40013,0.01576,6000670,0.016257,6000771
95,800,3,6000670,0.016257,924061,0.0137,40013,0.01576,6000670,0.016257,6000771
96,100,5,6002146,1.141161,2441147,0.975528,134344,1.016677,412460,1.066344,6002147
97,102,4,6002146,0.23882,134344,0.199015,6000895,0.236135,1086954,0.238502,6002147
98,103,4,6002146,0.067724,134344,0.065062,412460,0.065922,6000895,0.066936,6002147
99,200,11,6002146,0.216884,6001167,0.180204,6001765,0.181635,6000806,0.183947,6002147
100,202,25,6002146,1.733145,6001765,1.612725,6000806,1.613967,6002404,1.617848,6002147
101,203,26,6002146,0.006482,6002404,0.005344,6002126,0.005464,6002134,0.005486,6002147
102,300,4346,6002146,0.273244,6001377,0.999833,6001546,0.999666,6000428,0.999498,6002147
103,400,4970,6002146,55.779651,755943,43.791612,6000300,44.255639,6000244,44.473236,6002147
104,500,4956,6002146,55.775603,755943,43.994169,6000300,44.510661,6000244,44.757394,6002147
105,502,1,6002146,1.749521,6002146,1.749521,6002404,1.760112,6002143,1.823303,6002147
106,600,4184,6002146,74.075594,6001377,68.268722,6001546,68.337022,6000428,69.048137,6002147
107,700,1728,6002146,41.609393,6000300,31.87775,6002134,32.124698,6000244,32.211917,6002147
108,702,1,6002146,2.323846,6002146,2.323846,6002109,2.425428,6000142,2.542293,6002147
109,703,2,6002146,0.810851,6000893,0.796854,6002146,0.810851,6002230,0.847799,6002147
110,704,1,6002146,0.010834,6002146,0.010834,6002109,0.012642,1445569,0.012701,6002147
111,800,1,6002146,0.010834,6002146,0.010834,6002109,0.012642,1445569,0.012701,6002147
112,100,2885,6000409,0.23133,553395,0.0159,932719,0.0246,845976,0.0399,6000397
113,102,3953,6000409,0.9227,553395,0.0653,932719,0.095,845976,0.126857,6000397
114,103,2885,6000409,0.231396,553395,0.015983,932719,0.024674,845976,0.032158,6000397
115,200,2,6000409,0.101425,6000917,0.101425,6000409,0.101425,6001638,0.170547,6000397
116,202,2,6000409,0.306869,6000917,0.306869,6000409,0.306869,6001610,0.553798,6000397
117,203,1,6000409,0.001104,6000409,0.001104,6000917,0.001104,6001610,0.002196,6000397
118,300,2,6000409,0.999666,6000917,0.999833,6000409,0.999666,6001610,0.999498,6000397
119,400,2,6000409,12.768498,6000917,12.768498,6000409,12.768498,6001424,14.486322,6000397
120,500,2,6000409,13.194396,6000917,13.194396,6000409,13.194396,6001424,14.680268,6000397
121,502,10,6000409,0.977416,6001610,0.620043,6001024,0.781867,6001129,0.880284,6000397
122,600,1,6000409,7.190819,6000409,7.190819,6000917,7.19764,6001610,10.733562,6000397
123,700,1,6000409,9.96204,6000409,9.96204,6000917,9.96204,6001424,11.825358,6000397
124,702,6,6000409,1.549012,6000401,1.27618,6000918,1.438488,6000520,1.467795,6000397
125,703,927,6000409,1.4996,6000401,0.37372,6000165,0.427865,1513699,0.519527,6000397
126,704,4,6000409,0.006532,6000401,0.006026,1513699,0.006097,6000917,0.006532,6000397
127,800,4,6000409,0.006532,6000401,0.006026,1513699,0.006097,6000917,0.006532,6000397
