Original Song,Name,Position,Id Song,Rank
6002150,Sendas Distintas,11,6002146,0.216884
6002151,Sendas Distintas,25,6002146,1.733145
6002152,Sendas Distintas,26,6002146,0.006482
6002153,Sendas Distintas,4346,6002146,0.273244
6002154,Sendas Distintas,4970,6002146,55.779651
6002155,Sendas Distintas,4956,6002146,55.775603
6002156,Sendas Distintas,1,6002146,1.749521
6002157,Sendas Distintas,4184,6002146,74.075594
6002158,Sendas Distintas,1728,6002146,41.609393
6002159,Sendas Distintas,1,6002146,2.323846
6002160,Sendas Distintas,2,6002146,0.810851
6002161,Sendas Distintas,1,6002146,0.010834
6002162,Sendas Distintas,1,6002146,0.010834
6000397,Temple of Thought,2885,6000409,0.23133
6000398,Temple of Thought,3953,6000409,0.9227
6000399,Temple of Thought,2885,6000409,0.231396
6000400,Temple of Thought,2,6000409,0.101425
6000401,Temple of Thought,2,6000409,0.306869
6000402,Temple of Thought,1,6000409,0.001104
6000403,Temple of Thought,2,6000409,0.999666
6000404,Temple of Thought,2,6000409,12.768498
6000405,Temple of Thought,2,6000409,13.194396
6000406,Temple of Thought,10,6000409,0.977416
6000407,Temple of Thought,1,6000409,7.190819
6000408,Temple of Thought,1,6000409,9.96204
6000409,Temple of Thought,6,6000409,1.549012
6000410,Temple of Thought,927,6000409,1.4996
6000411,Temple of Thought,4,6000409,0.006532
6000412,Temple of Thought,4,6000409,0.006532
